I_y,PF,e_PF,I_f
3.4,0.9,0.1,1.354
3.4,0.92,0.08,1.254
3.4,0.94,0.06,1.26
3.4,0.96,0.04,1.257
3.4,0.98,0.02,1.257
3.4,1,0,1.257
3.5,0.66,0.34,1.552
3.5,0.68,0.32,1.575
3.5,0.7,0.3,1.598
3.5,0.72,0.28,1.508
3.5,0.74,0.26,1.529
3.5,0.76,0.24,1.465
3.5,0.78,0.22,1.476
3.5,0.8,0.2,1.486
3.5,0.82,0.18,1.396
3.5,0.84,0.16,1.405
3.5,0.86,0.14,1.322
3.5,0.88,0.12,1.331
3.5,0.9,0.1,1.34
3.5,0.92,0.08,1.225
3.5,0.94,0.06,1.232
3.5,0.96,0.04,1.236
3.5,0.98,0.02,1.236
3.5,1,0,1.236
3.6,0.66,0.34,1.637
3.6,0.68,0.32,1.656
3.8,0.92,0.08,1.292
3.8,0.94,0.06,1.296
3.8,0.96,0.04,1.299
3.8,0.98,0.02,1.299
3.8,1,0,1.299
3.7,0.92,0.08,1.303
3.7,0.94,0.06,1.311
3.6,0.92,0.08,1.32
3.7,0.96,0.04,1.32
3.7,0.98,0.02,1.32
3.7,1,0,1.32
3.6,0.94,0.06,1.326
3.6,0.96,0.04,1.342
3.6,0.98,0.02,1.342
3.6,1,0,1.342
3.8,0.86,0.14,1.38
3.7,0.86,0.14,1.39
3.8,0.88,0.12,1.39
3.6,0.86,0.14,1.4
3.7,0.88,0.12,1.401
3.8,0.9,0.1,1.402
3.6,0.88,0.12,1.415
3.7,0.9,0.1,1.421
3.6,0.9,0.1,1.441
3.8,0.82,0.18,1.467
3.7,0.82,0.18,1.475
3.8,0.84,0.16,1.479
3.6,0.82,0.18,1.487
3.7,0.84,0.16,1.491
3.6,0.84,0.16,1.502
3.8,0.76,0.24,1.525
3.7,0.76,0.24,1.533
3.6,0.76,0.24,1.541
3.8,0.78,0.22,1.541
3.7,0.78,0.22,1.547
3.6,0.78,0.22,1.557
3.8,0.8,0.2,1.563
3.7,0.8,0.2,1.575
3.6,0.8,0.2,1.586
3.8,0.72,0.28,1.592
3.7,0.72,0.28,1.599
3.6,0.72,0.28,1.607
3.8,0.74,0.26,1.607
3.7,0.74,0.26,1.616
3.9,0.66,0.34,1.624
3.6,0.74,0.26,1.625
3.8,0.66,0.34,1.629
3.7,0.66,0.34,1.633
3.9,0.68,0.32,1.642
3.8,0.68,0.32,1.646
3.7,0.68,0.32,1.65
3.9,0.7,0.3,1.666
3.8,0.7,0.3,1.672
3.7,0.7,0.3,1.679
3.6,0.7,0.3,1.685
3.9,0.72,0.28,1.582
3.9,0.74,0.26,1.598
3.9,0.76,0.24,1.517
3.9,0.78,0.22,1.533
3.9,0.8,0.2,1.552
3.9,0.82,0.18,1.454
3.9,0.84,0.16,1.468
4,0.92,0.08,1.244
4,0.94,0.06,1.252
4,0.96,0.04,1.256
4,0.98,0.02,1.256
4,1,0,1.256
3.9,0.92,0.08,1.275
3.9,0.96,0.04,1.277
3.9,0.98,0.02,1.277
3.9,1,0,1.277
3.9,0.94,0.06,1.28
4.1,0.92,0.08,1.342
4,0.86,0.14,1.345
4.1,0.94,0.06,1.348
4,0.88,0.12,1.354
4,0.9,0.1,1.363
4.1,0.96,0.04,1.364
4.1,0.98,0.02,1.364
4.1,1,0,1.364
3.9,0.86,0.14,1.37
3.9,0.88,0.12,1.377
3.9,0.9,0.1,1.382
4,0.82,0.18,1.43
4.1,0.86,0.14,1.443
4,0.84,0.16,1.45
4.1,0.88,0.12,1.458
4.1,0.9,0.1,1.488
4,0.76,0.24,1.497
4,0.78,0.22,1.518
4,0.8,0.2,1.54
4.1,0.82,0.18,1.541
4.1,0.84,0.16,1.558
4,0.72,0.28,1.563
4,0.74,0.26,1.586
4.1,0.76,0.24,1.598
4,0.66,0.34,1.61
4.1,0.78,0.22,1.616
4,0.68,0.32,1.635
4.1,0.8,0.2,1.647
4,0.7,0.3,1.659
4.1,0.72,0.28,1.669
4.1,0.74,0.26,1.688
4.2,0.66,0.34,1.697
4.1,0.66,0.34,1.702
4.2,0.68,0.32,1.714
4.1,0.68,0.32,1.721
4.1,0.7,0.3,1.752
4.3,0.92,0.08,1.313
4.3,0.94,0.06,1.317
4.3,0.96,0.04,1.32
4.3,0.98,0.02,1.32
4.3,1,0,1.32
4.2,0.92,0.08,1.325
4.2,0.94,0.06,1.333
4.2,0.96,0.04,1.342
4.2,0.98,0.02,1.342
4.2,1,0,1.342
4.3,0.86,0.14,1.415
4.3,0.88,0.12,1.426
4.2,0.86,0.14,1.429
4.3,0.9,0.1,1.437
4.2,0.88,0.12,1.44
4.2,0.9,0.1,1.462
4.3,0.82,0.18,1.52
4.2,0.82,0.18,1.529
4.3,0.84,0.16,1.534
4.2,0.84,0.16,1.546
4.3,0.76,0.24,1.582
4.2,0.76,0.24,1.59
4.3,0.78,0.22,1.599
4.2,0.78,0.22,1.605
4.3,0.8,0.2,1.622
4.2,0.8,0.2,1.635
4.3,0.72,0.28,1.653
4.2,0.72,0.28,1.66
4.3,0.74,0.26,1.669
4.2,0.74,0.26,1.679
4.3,0.66,0.34,1.692
4.3,0.68,0.32,1.711
4.3,0.7,0.3,1.739
4.2,0.7,0.3,1.745
4.4,0.66,0.34,1.687
4.4,0.68,0.32,1.706
4.4,0.7,0.3,1.732
4.4,0.72,0.28,1.642
4.4,0.74,0.26,1.66
4.4,0.76,0.24,1.574
4.4,0.78,0.22,1.59
4.4,0.8,0.2,1.61
4.4,0.82,0.18,1.506
4.4,0.84,0.16,1.521
4.4,0.86,0.14,1.402
4.4,0.88,0.12,1.408
4.4,0.9,0.1,1.411
4.4,0.92,0.08,1.296
4.4,0.94,0.06,1.301
4.4,0.96,0.04,1.298
4.4,0.98,0.02,1.298
4.4,1,0,1.298
4.5,0.66,0.34,1.672
4.5,0.68,0.32,1.699
4.5,0.7,0.3,1.725
4.5,0.72,0.28,1.622
4.5,0.74,0.26,1.647
4.5,0.76,0.24,1.552
4.5,0.78,0.22,1.575
4.5,0.8,0.2,1.598
4.5,0.82,0.18,1.481
4.5,0.84,0.16,1.502
4.5,0.86,0.14,1.368
4.5,0.88,0.12,1.377
4.5,0.9,0.1,1.386
4.5,0.92,0.08,1.264
4.5,0.94,0.06,1.272
4.5,0.96,0.04,1.276
4.5,0.98,0.02,1.276
4.5,1,0,1.276
4.6,0.66,0.34,1.77
4.6,0.68,0.32,1.79
4.6,0.7,0.3,1.824
4.6,0.72,0.28,1.736
4.6,0.74,0.26,1.756
4.6,0.76,0.24,1.655
4.6,0.78,0.22,1.674
4.6,0.8,0.2,1.706
4.6,0.82,0.18,1.586
4.6,0.84,0.16,1.595
4.6,0.87,0.13,1.488
4.6,0.89,0.11,1.496
4.6,0.91,0.09,1.361
4.6,0.93,0.07,1.368
4.6,0.95,0.05,1.387
4.6,0.97,0.03,1.387
4.6,0.99,0.01,1.387
4.7,0.65,0.35,1.788
4.7,0.67,0.33,1.775
4.7,0.69,0.31,1.795
4.7,0.71,0.29,1.716
4.7,0.73,0.27,1.734
4.7,0.75,0.25,1.767
4.7,0.77,0.23,1.653
4.7,0.79,0.21,1.67
4.7,0.81,0.19,1.57
4.7,0.83,0.17,1.576
4.7,0.85,0.15,1.593
4.7,0.87,0.13,1.468
4.7,0.89,0.11,1.477
4.7,0.91,0.09,1.345
4.7,0.93,0.07,1.35
4.7,0.95,0.05,1.365
4.7,0.97,0.03,1.365
4.7,0.99,0.01,1.365
4.8,0.65,0.35,1.802
4.8,0.67,0.33,1.772
4.8,0.69,0.31,1.79
4.8,0.71,0.29,1.707
4.8,0.73,0.27,1.726
4.8,0.75,0.25,1.753
4.8,0.77,0.23,1.646
4.8,0.79,0.21,1.656
4.8,0.81,0.19,1.558
4.8,0.83,0.17,1.566
4.8,0.85,0.15,1.575
4.8,0.87,0.13,1.454
4.8,0.89,0.11,1.458
4.8,0.91,0.09,1.33
4.8,0.93,0.07,1.337
4.8,0.95,0.05,1.342
4.8,0.97,0.03,1.342
4.8,0.99,0.01,1.342
4.9,0.65,0.35,1.817
4.9,0.67,0.33,1.765
4.9,0.69,0.31,1.785
4.9,0.71,0.29,1.697
4.9,0.73,0.27,1.716
4.9,0.75,0.25,1.739
4.9,0.77,0.23,1.633
4.9,0.79,0.21,1.642
4.9,0.81,0.19,1.545
4.9,0.83,0.17,1.553
4.9,0.85,0.15,1.558
4.9,0.87,0.13,1.433
4.9,0.89,0.11,1.44
4.9,0.91,0.09,1.314
4.9,0.93,0.07,1.32
4.9,0.95,0.05,1.32
4.9,0.97,0.03,1.32
4.9,0.99,0.01,1.32
5,0.65,0.35,1.831
5,0.67,0.33,1.753
5,0.69,0.31,1.781
5,0.71,0.29,1.672
5,0.73,0.27,1.699
5,0.75,0.25,1.725
5,0.77,0.23,1.61
5,0.79,0.21,1.622
5,0.81,0.19,1.518
5,0.83,0.17,1.529
5,0.85,0.15,1.54
5,0.87,0.13,1.396
5,0.89,0.11,1.405
5,0.91,0.09,1.28
5,0.93,0.07,1.289
5,0.95,0.05,1.297
5,0.97,0.03,1.297
5,0.99,0.01,1.297
5.1,0.65,0.35,1.846
5.1,0.67,0.33,1.848
5.1,0.69,0.31,1.87
5.1,0.71,0.29,1.785
5.1,0.73,0.27,1.795
5.1,0.75,0.25,1.817
5.1,0.77,0.23,1.716
5.1,0.79,0.21,1.726
5.1,0.81,0.19,1.616
5.1,0.83,0.17,1.634
5.1,0.85,0.15,1.667
5.1,0.87,0.13,1.518
5.1,0.89,0.11,1.527
5.1,0.91,0.09,1.388
5.1,0.93,0.07,1.402
5.1,0.95,0.05,1.432
5.1,0.97,0.03,1.432
5.1,0.99,0.01,1.432
5.2,0.65,0.35,1.862
5.2,0.67,0.33,1.84
5.2,0.69,0.31,1.859
5.2,0.71,0.29,1.775
5.2,0.73,0.27,1.783
5.2,0.75,0.25,1.802
5.2,0.77,0.23,1.704
5.2,0.79,0.21,1.716
5.2,0.81,0.19,1.604
5.2,0.83,0.17,1.617
5.2,0.85,0.15,1.643
5.2,0.87,0.13,1.5
5.2,0.89,0.11,1.511
5.2,0.91,0.09,1.372
5.2,0.93,0.07,1.381
5.2,0.95,0.05,1.403
5.2,0.97,0.03,1.403
5.2,0.99,0.01,1.403
5.3,0.65,0.35,1.877
5.3,0.67,0.33,1.836
5.3,0.69,0.31,1.848
5.3,0.71,0.29,1.765
5.3,0.73,0.27,1.775
5.3,0.75,0.25,1.788
5.3,0.77,0.23,1.693
5.3,0.79,0.21,1.707
5.3,0.81,0.19,1.591
5.3,0.83,0.17,1.603
5.3,0.85,0.15,1.618
5.3,0.87,0.13,1.485
5.3,0.89,0.11,1.495
5.3,0.91,0.09,1.356
5.3,0.93,0.07,1.365
5.3,0.95,0.05,1.375
5.3,0.97,0.03,1.375
5.3,0.99,0.01,1.375
5.4,0.65,0.35,1.893
5.4,0.67,0.33,1.827
5.4,0.69,0.31,1.837
5.4,0.71,0.29,1.755
5.4,0.73,0.27,1.765
5.4,0.75,0.25,1.773
5.4,0.77,0.23,1.679
5.4,0.79,0.21,1.697
5.4,0.81,0.19,1.578
5.4,0.83,0.17,1.587
5.4,0.85,0.15,1.594
5.4,0.87,0.13,1.466
5.4,0.89,0.11,1.48
5.4,0.91,0.09,1.339
5.4,0.93,0.07,1.345
5.4,0.95,0.05,1.346
5.4,0.97,0.03,1.346
5.4,0.99,0.01,1.346
5.5,0.65,0.35,1.908
5.5,0.67,0.33,1.809
5.5,0.69,0.31,1.824
5.5,0.71,0.29,1.732
5.5,0.73,0.27,1.745
5.5,0.75,0.25,1.759
5.5,0.77,0.23,1.654
5.5,0.79,0.21,1.679
5.5,0.81,0.19,1.546
5.5,0.83,0.17,1.557
5.5,0.85,0.15,1.569
5.5,0.87,0.13,1.43
5.5,0.89,0.11,1.45
5.5,0.91,0.09,1.301
5.5,0.93,0.07,1.31
5.5,0.95,0.05,1.318
5.5,0.97,0.03,1.318
5.5,0.99,0.01,1.318
5.6,0.65,0.35,1.916
5.6,0.67,0.33,1.909
5.6,0.69,0.31,1.92
5.6,0.71,0.29,1.832
5.6,0.73,0.27,1.854
5.6,0.75,0.25,1.893
5.6,0.77,0.23,1.765
5.6,0.79,0.21,1.786
5.6,0.81,0.19,1.67
5.6,0.83,0.17,1.679
5.6,0.85,0.15,1.706
5.6,0.87,0.13,1.558
5.6,0.89,0.11,1.575
5.6,0.91,0.09,1.426
5.6,0.93,0.07,1.434
5.6,0.95,0.05,1.457
5.6,0.97,0.03,1.457
5.6,0.99,0.01,1.457
5.7,0.65,0.35,1.924
5.7,0.67,0.33,1.9
5.7,0.69,0.31,1.915
5.7,0.71,0.29,1.821
5.7,0.73,0.27,1.841
5.7,0.75,0.25,1.877
5.7,0.77,0.23,1.753
5.7,0.79,0.21,1.771
5.7,0.81,0.19,1.652
5.7,0.83,0.17,1.661
5.7,0.85,0.15,1.686
5.7,0.87,0.13,1.539
5.7,0.89,0.11,1.555
5.7,0.91,0.09,1.406
5.7,0.93,0.07,1.41
5.7,0.95,0.05,1.428
5.7,0.97,0.03,1.428
5.7,0.99,0.01,1.428
5.8,0.65,0.35,1.933
5.8,0.67,0.33,1.891
5.8,0.69,0.31,1.909
5.8,0.71,0.29,1.811
5.8,0.73,0.27,1.832
5.8,0.75,0.25,1.862
5.8,0.77,0.23,1.745
5.8,0.79,0.21,1.755
5.8,0.81,0.19,1.635
5.8,0.83,0.17,1.651
5.8,0.85,0.15,1.667
5.8,0.87,0.13,1.527
5.8,0.89,0.11,1.535
5.8,0.91,0.09,1.386
5.8,0.93,0.07,1.394
5.8,0.95,0.05,1.398
5.8,0.97,0.03,1.398
5.8,0.99,0.01,1.398
5.9,0.65,0.35,1.941
5.9,0.67,0.33,1.881
5.9,0.69,0.31,1.903
5.9,0.71,0.29,1.801
5.9,0.73,0.27,1.821
5.9,0.75,0.25,1.846
5.9,0.77,0.23,1.731
5.9,0.79,0.21,1.74
5.9,0.81,0.19,1.617
5.9,0.83,0.17,1.634
5.9,0.85,0.15,1.647
5.9,0.87,0.13,1.507
5.9,0.89,0.11,1.514
5.9,0.91,0.09,1.365
5.9,0.93,0.07,1.372
5.9,0.95,0.05,1.369
5.9,0.97,0.03,1.369
5.9,0.99,0.01,1.369
6,0.65,0.35,1.949
6,0.67,0.33,1.862
6,0.69,0.31,1.893
6,0.71,0.29,1.773
6,0.73,0.27,1.802
6,0.75,0.25,1.831
6,0.77,0.23,1.705
6,0.79,0.21,1.718
6,0.81,0.19,1.581
6,0.83,0.17,1.604
6,0.85,0.15,1.628
6,0.87,0.13,1.47
6,0.89,0.11,1.481
6,0.91,0.09,1.322
6,0.93,0.07,1.331
6,0.95,0.05,1.34
6,0.97,0.03,1.34
6,0.99,0.01,1.34
